event	A	PHOTO BOOTH & CHECK-IN		1	Photobooth wall with diecut	Vách photobooth có diecut	MDF board, PU paint, decal, diecut per design	Ván MDF, sơn PU, dán decal, diecut theo thiết kế	m²		650000.00	650000.00	650000.00			1
event	A	PHOTO BOOTH & CHECK-IN		2	Photobooth floor	Sàn photobooth	Scratch-resistant decal / PU-painted MDF board	Decal chống trầy / ván MDF sơn PU	m²		550000.00	550000.00	550000.00			2
event	A	PHOTO BOOTH & CHECK-IN		3	360 curved wall	Vách cong 360 (curved wall)	MDF board, PU paint, steel frame, diecut	Ván MDF, sơn PU, ốp khung sắt, diecut	m²		1250000.00	1250000.00	1250000.00			3
event	A	PHOTO BOOTH & CHECK-IN		4	Small diecut logo	Diecut logo nhỏ	Mounted foam board, matte lamination	Format bồi, cán mờ	Pc	Cái	200000.00	200000.00	200000.00			4
event	A	PHOTO BOOTH & CHECK-IN		5	Large brand diecut logo	Diecut logo lớn / logo thương hiệu	Raised diecut with lighting	Diecut nổi, có đèn	Pc	Cái	2000000.00	4000000.00	6000000.00			5
event	A	PHOTO BOOTH & CHECK-IN		6	Raised diecut element (small)	Diecut element nổi (nhỏ)	E.g. building, small icon	VD: toà nhà, biểu tượng nhỏ	Pc	Cái	3000000.00	3000000.00	3000000.00			6
event	A	PHOTO BOOTH & CHECK-IN		7	Raised diecut element (large)	Diecut element nổi (lớn)	E.g. train, large ring, raised event name	VD: con tàu, vòng tròn lớn, tên sự kiện nổi	Pc	Cái	5000000.00	5000000.00	6500000.00			7
event	A	PHOTO BOOTH & CHECK-IN		8	LED letter light-box mockup	Mockup hộp đèn chữ LED	Decal on 5mm foam board, CNC cut, recessed LED	Decal dán format 5mm, cắt CNC, LED âm	Pc	Cái	4500000.00	4500000.00	4500000.00			8
event	A	PHOTO BOOTH & CHECK-IN		9	Circular LED-edge mockup	Mockup hình tròn viền LED	~80cm diameter, 5mm foam board, LED edge	Đường kính ~80cm, format 5mm, viền LED	Pc	Cái	3000000.00	3000000.00	4000000.00			9
event	A	PHOTO BOOTH & CHECK-IN		10	LED light line for elements	Line đèn LED viền element	LED wash line along diecut edge	Đèn LED hắt viền diecut	m		200000.00	300000.00	350000.00			10
event	A	PHOTO BOOTH & CHECK-IN		11	QR code board	Bảng QR code	Foam board panel with QR code	Bảng format dán mã QR	Pc	Cái	100000.00	100000.00	100000.00			11
event	A	PHOTO BOOTH & CHECK-IN		12	Check-in desk cover	Cover bàn check-in	Foam board / decal wrap per design	Ốp format / decal theo thiết kế	Package	Gói	3000000.00	3000000.00	3000000.00	Estimated from an equivalent item	Ước theo hạng mục tương đương	12
event	B	AI PHOTOBOOTH & INTERACTIVE	PHOTOBOOTH AI & TƯƠNG TÁC	1	AI photobooth — QR download, no print	Photobooth AI — quét mã lấy ảnh (không in)	All-in for one station	Trọn gói 1 điểm	Package	Gói	13000000.00	13000000.00	13000000.00			13
